Date,UserID,Product,Quantity,Price
2023-10-26,542,Monitor,5,120.84
2024-05-01,407,Keyboard,5,179.28
2023-09-17,471,Mouse,5,90.97
2023-11-07,790,Printer,3,36.9
2024-07-15,304,Monitor,4,914.31
2024-03-19,708,Monitor,3,252.16
2024-03-28,959,Mouse,1,553.82
2023-11-24,304,Printer,3,591.29
2024-04-28,854,Mouse,5,286.06
2023-10-04,282,Monitor,4,266.14
2024-02-03,468,Mouse,5,457.75
2023-07-21,161,Keyboard,3,630.26
2023-11-30,74,Printer,3,841.76
2024-01-20,569,Keyboard,2,944.24
2024-05-12,299,Mouse,1,950.48
2024-03-03,836,Mouse,3,28.13
2024-05-31,140,Keyboard,4,297.11
2024-04-22,552,Monitor,4,551.38
2024-04-09,841,Printer,2,336.61
2023-10-21,717,Monitor,4,987.09
2024-06-14,35,Keyboard,3,480.56
2024-03-30,102,Monitor,4,487.36
2023-09-12,672,Keyboard,1,869.39
2024-01-18,478,Mouse,2,979.35
2024-06-01,881,Printer,3,302.45
2023-10-10,328,Printer,3,745.49
2024-01-18,336,Keyboard,5,747.11
2023-11-05,286,Printer,3,285.74
2023-11-22,732,Monitor,3,222.04
2024-04-13,680,Mouse,5,348.34
2023-11-16,603,Monitor,3,423.07
2023-07-30,404,Laptop,2,664.53
2023-09-19,561,Printer,5,437.91
2023-10-08,134,Laptop,2,363.23
2023-10-23,584,Monitor,1,975.96
2024-01-18,643,Mouse,4,875.35
2024-01-30,647,Keyboard,5,811.64
2023-11-05,464,Laptop,5,899.64
2024-06-22,659,Laptop,5,311.75
2023-07-27,338,Keyboard,4,741.04
2023-09-19,982,Laptop,2,988.11
2024-06-29,909,Mouse,1,853.73
2023-12-23,406,Mouse,3,186.0
2024-01-18,992,Mouse,2,14.75
2024-02-27,948,Mouse,5,653.1
2024-06-17,615,Keyboard,3,819.33
2024-01-16,997,Mouse,4,586.17
2024-06-01,291,Mouse,5,90.86
2023-10-19,542,Mouse,2,275.3
2023-07-30,230,Mouse,1,985.36
2024-06-30,871,Laptop,4,560.04
2024-03-18,148,Mouse,4,34.83
2024-03-18,702,Laptop,1,777.55
2024-03-22,47,Mouse,4,60.3
2024-03-28,174,Printer,2,230.88
2024-01-29,555,Monitor,5,625.5
2023-08-27,495,Printer,4,827.73
2023-08-16,386,Printer,4,66.01
2024-03-29,682,Mouse,5,524.66
2024-03-07,895,Monitor,2,471.73
2024-02-16,519,Printer,5,158.54
2024-03-09,918,Keyboard,5,709.89
2023-12-10,812,Mouse,2,836.87
2024-06-27,8,Monitor,3,492.79
2024-04-02,432,Keyboard,5,638.08
2023-10-02,67,Printer,5,219.71
2023-08-31,477,Laptop,4,210.71
2024-01-22,926,Monitor,4,819.0
2024-07-10,840,Mouse,2,342.71
2023-07-25,746,Monitor,1,719.22
2023-08-20,693,Laptop,2,892.25
2024-07-13,627,Printer,2,778.26
2023-08-06,903,Mouse,3,368.34
2024-03-15,644,Monitor,3,940.87
2023-09-08,157,Monitor,1,256.94
2023-08-26,904,Mouse,5,101.24
2024-04-17,15,Monitor,1,366.23
2023-08-09,346,Printer,5,506.99
2024-05-02,429,Monitor,1,978.29
2024-03-29,566,Printer,5,119.8
2023-09-13,427,Laptop,5,140.7
2023-09-30,452,Printer,5,608.24
2024-03-13,912,Keyboard,1,131.23
2024-04-12,824,Monitor,4,761.52
2024-01-23,974,Keyboard,1,30.27
2023-11-28,62,Monitor,4,533.98
2024-05-08,683,Monitor,5,148.02
2023-07-27,435,Mouse,1,851.27
2023-11-09,527,Mouse,5,178.29
2023-10-16,923,Laptop,2,608.16
2023-11-05,345,Printer,2,166.71
2023-09-23,440,Keyboard,4,227.2
2023-12-28,87,Printer,4,334.64
2024-05-31,483,Printer,2,96.9
2023-11-14,453,Printer,1,965.71
2023-08-08,879,Mouse,4,623.49
2024-04-29,394,Mouse,3,506.55
2024-01-24,852,Keyboard,5,490.95
2024-07-07,853,Printer,1,467.45
2024-01-01,120,Monitor,4,949.92
2024-03-23,253,Printer,2,949.09
2024-05-02,724,Laptop,2,255.93
2024-03-18,997,Laptop,5,581.86
2024-07-15,105,Mouse,5,771.37
2024-05-02,502,Printer,3,297.47
2023-08-06,981,Keyboard,4,33.29
2024-05-03,17,Printer,5,458.36
2024-04-17,608,Mouse,3,62.01
2023-10-20,443,Monitor,2,129.23
2024-04-19,241,Laptop,5,507.49
2024-02-12,766,Monitor,5,892.45
2024-03-11,581,Monitor,3,193.29
2024-01-28,2,Laptop,5,994.6
2023-11-07,631,Mouse,3,66.28
2024-07-05,85,Mouse,2,119.04
2023-09-09,60,Printer,2,954.76
2024-06-14,440,Mouse,5,31.17
2024-01-21,393,Monitor,3,780.8
2023-11-30,562,Mouse,2,302.22
2024-03-08,43,Mouse,1,545.56
2023-07-28,957,Laptop,5,557.93
2024-05-05,157,Keyboard,2,91.92
2023-12-25,166,Laptop,1,432.2
2024-05-29,209,Monitor,1,891.96
2023-10-30,914,Monitor,1,792.32
2024-06-09,739,Keyboard,4,798.97
2024-07-13,642,Printer,1,264.46
2023-10-03,398,Mouse,3,601.0
2024-06-22,604,Keyboard,3,227.09
2024-04-16,200,Laptop,1,21.37
2024-01-21,60,Mouse,1,923.4
2024-01-07,401,Keyboard,3,438.83
2023-08-25,818,Keyboard,3,294.6
2024-01-08,867,Monitor,5,887.33
2023-12-29,682,Keyboard,4,337.2
2023-07-23,491,Laptop,5,664.13
2023-11-02,364,Laptop,4,696.6
2024-01-08,856,Laptop,4,740.62
2023-11-15,153,Monitor,1,63.73
2023-10-03,616,Mouse,2,649.7
2024-04-09,494,Printer,4,483.01
2024-07-18,974,Mouse,3,66.71
2024-03-11,556,Printer,1,582.37
2024-03-26,63,Mouse,2,974.69
2024-04-16,336,Keyboard,5,400.26
2024-04-29,140,Keyboard,4,917.85
2024-01-28,376,Laptop,5,668.62
2024-02-23,614,Mouse,4,410.9
2023-12-17,430,Printer,5,307.25
2024-06-25,935,Mouse,2,817.01
2023-12-20,600,Printer,5,708.21
2023-11-08,297,Monitor,4,846.83
2024-02-18,649,Laptop,5,528.01
2023-12-05,252,Monitor,2,392.47
2023-08-16,626,Laptop,3,123.82
2024-01-25,844,Laptop,2,688.92
2024-03-21,352,Monitor,4,32.29
2024-03-24,524,Keyboard,5,246.88
2023-08-08,107,Laptop,4,850.48
2024-06-10,677,Mouse,5,683.48
2024-05-17,27,Printer,4,937.15
2024-03-10,666,Monitor,4,159.89
2023-07-26,771,Monitor,3,845.88
2024-05-09,807,Monitor,1,930.34
2024-04-17,841,Printer,4,677.22
2023-09-19,402,Keyboard,4,607.0
2024-01-12,403,Mouse,1,966.35
2024-03-22,884,Laptop,4,942.44
2024-01-31,399,Laptop,1,221.65
2024-05-27,364,Laptop,1,93.99
2023-08-18,296,Laptop,4,246.44
2024-03-27,879,Keyboard,1,364.27
2024-02-21,196,Laptop,4,466.03
2024-07-14,156,Mouse,5,661.58
2024-06-06,105,Mouse,4,773.78
2024-05-26,970,Mouse,3,827.79
2023-08-22,680,Keyboard,3,246.93
2023-09-06,805,Mouse,5,476.33
2024-03-10,426,Laptop,4,900.19
2024-05-24,75,Laptop,1,820.62
2024-02-16,814,Mouse,3,216.89
2024-04-22,578,Monitor,4,212.32
2024-04-21,103,Keyboard,3,760.75
2023-09-16,956,Laptop,4,429.83
2023-09-21,589,Laptop,5,960.69
2024-02-25,397,Mouse,4,728.21
2024-06-20,189,Monitor,2,910.36
2024-03-11,147,Laptop,3,30.91
2023-07-26,410,Keyboard,5,381.43
2024-02-12,322,Laptop,4,324.37
2023-10-22,259,Keyboard,2,900.67
2023-07-22,586,Keyboard,1,402.29
2023-09-23,948,Laptop,2,765.83
2024-04-29,937,Keyboard,3,96.85
2023-08-05,826,Mouse,4,98.35
2023-11-17,114,Monitor,4,139.26
2023-10-28,407,Mouse,4,535.27
2024-05-30,302,Keyboard,4,367.28
2024-04-21,558,Keyboard,5,204.17
2023-09-05,911,Keyboard,4,793.32
2024-03-18,392,Mouse,3,619.25
2023-11-24,450,Printer,3,104.63
2024-06-05,482,Laptop,3,343.34
2024-01-22,897,Keyboard,4,826.48
2023-12-26,822,Mouse,2,163.1
2024-03-19,518,Printer,2,430.91
2024-01-31,9,Mouse,2,935.29
2024-03-30,233,Keyboard,3,869.61
2024-03-21,574,Laptop,3,177.19
2023-08-22,770,Monitor,2,781.71
2024-03-17,812,Keyboard,2,845.77
2023-08-29,689,Keyboard,3,923.43
2024-06-22,115,Laptop,5,102.72
2024-04-05,277,Printer,1,383.52
2023-10-05,294,Laptop,4,863.97
2024-04-27,600,Laptop,2,80.78
2023-10-24,57,Keyboard,2,992.39
2024-02-01,242,Keyboard,1,827.38
2023-10-25,426,Laptop,5,105.51
2024-04-06,780,Keyboard,2,905.56
2024-05-22,10,Laptop,3,490.23
2023-11-12,740,Keyboard,2,950.21
2024-03-07,384,Mouse,1,429.8
2023-10-25,465,Monitor,2,96.69
2024-05-11,154,Laptop,3,191.0
2023-12-06,681,Printer,1,515.15
2023-12-31,158,Mouse,1,687.48
2024-02-29,774,Printer,1,669.27
2024-04-11,129,Keyboard,1,611.38
2024-04-16,987,Mouse,5,679.6
2024-02-20,870,Mouse,4,414.82
2023-08-23,95,Mouse,5,397.88
2023-09-07,968,Laptop,3,247.52
2023-07-20,3,Laptop,4,285.99
2024-07-13,554,Mouse,2,666.27
2024-02-22,493,Laptop,4,541.96
2023-09-19,78,Keyboard,2,551.81
2023-10-24,322,Printer,4,161.67
2024-06-07,307,Keyboard,4,85.45
2023-08-25,396,Mouse,4,731.99
2023-08-24,936,Mouse,1,192.93
2023-08-17,597,Mouse,5,995.13
2023-09-08,265,Keyboard,2,817.98
2024-05-28,149,Monitor,5,656.52
2024-06-02,508,Laptop,3,779.88
2024-02-03,331,Mouse,4,695.08
2023-09-23,747,Monitor,5,327.77
2024-02-18,665,Mouse,1,339.89
2024-01-07,344,Monitor,3,751.13
2024-03-15,461,Printer,1,305.18
2024-03-14,38,Keyboard,4,446.85
2023-12-03,861,Printer,2,708.43
2024-05-31,331,Keyboard,4,770.53
2024-02-22,961,Mouse,5,481.06
2024-02-16,280,Laptop,1,111.52
2024-02-14,51,Laptop,5,812.49
2023-11-18,746,Laptop,3,857.21
2024-01-09,829,Keyboard,3,606.21
2024-05-12,113,Monitor,3,540.89
